"Diseases","Type of Treatment","List of suggested Treatment/ Medicine","Names of the Doctors ","Address","specialization "
"measles"," There is no specific medical treatment for measles. To help manage symptoms:
give your child plenty of fluids
encourage extra rest
give a non-aspirin fever medicine, such as acetaminophen or ibuprofen if a fever makes your child uncomfortable. Never give aspirin to a child or teen who has a viral illness, as such use is linked to Reye syndrome, which can be life-threatening. ","There is no specific medical treatment for measles. To help manage symptoms:
give your child plenty of fluids
encourage extra rest
give a non-aspirin fever medicine, such as acetaminophen or ibuprofen if a fever makes your child uncomfortable. Never give aspirin to a child or teen who has a viral illness, as such use is linked to Reye syndrome, which can be life-threatening.","Roberto Stella","via delle coste,45,Limiti di greccio ,Rieti,Italy","General practioner"
"HIV","The treatment for HIV is called antiretroviral therapy (ART). ART involves taking a combination of HIV medicines (called an HIV treatment regimen) every day. ART is recommended for everyone who has HIV.","Abacavir (ABC) 300 mg twice daily or 600 mg once daily
Emtricitabine (FTC) 200 mg once daily
Lamivudine (3TC) 150 mg twice daily or 300 mg once daily
Zidovudine (AZT) 250–300 mg twice daily","Giuseppe Borghi","Via Antonio da Legnago 85 Cerasi,Reggio Calabria 89060,Italy","Osteopathic medicine"
"German_measles","Antibiotics can't treat rubella because they only work against bacteria, not viruses. Unless it causes other problems, rubella will get better on its own. Rubella usually is mild in kids, who often can be cared for at home. Check your child's temperature and call the doctor if the fever climbs too high.","There is no specific medical treatment for measles. To help manage symptoms:
give your child plenty of fluids
encourage extra rest
give a non-aspirin fever medicine, such as acetaminophen or ibuprofen if a fever makes your child uncomfortable. Never give aspirin to a child or teen who has a viral illness, as such use is linked to Reye syndrome, which can be life-threatening.","Giuseppe Lanati","Via Giulio Petroni ,48 Osio Sotto Bergamo,italy
","Respiratory medicine"
"flu","Antiviral drugs can help treat flu illness: Antiviral drugs are different from antibiotics. Flu antivirals are prescription medicines (pills, liquid, intravenous solution, or an inhaled powder) and are not available over the counter. Antiviral drugs can make illness milder and shorten the time you are sick.",,"Raffaele Giura","Via Galvani 114 Segni,Roma,00037,Italy","Respiratory medicine"
"common_cold","There's no cure for the common cold. Most cases of the common cold get better without treatment, usually within a week to 10 days.the best thing you can do is take care of yourself while your body heals. For example, drink plenty of liquids, humidify the air, use saline nasal rinses and get adequate rest.Relieving your symptoms can include using over-the-counter (OTC) medication to reduce fever, body aches, congestion and cough. Some remedies might help ease your symptoms and keep you from feeling so miserable. But there are pros and cons to commonly used cold remedies, such as over-the-counter pain relievers, decongestants, nasal sprays and cough syrups. Don't give OTC cold medications to children ","Ibuprofen(Advil)-Medication by mouth, usually every 6 to 8 hours as needed
Sudafed-Medication by mouth with or without food, usually every 4-6 hours,
Phenylephrine-10mg, twice daily","Rosario Vittorio Gentile","Via Goffredo Mameli 80,Piedelpoggio, Rieti","General practitioners"
"mumps","There's currently no cure for mumps, but the infection should pass within one or two weeks. Treatment is used to relieve symptoms and includes: getting plenty of bed rest and fluids. using painkillers, such as ibuprofen and paracetamol – aspirin shouldn't be given to children under 16","Rest. Pain relievers that you can get without a prescription such as ibuprofen (Advil, Motrin IB, others) and acetaminophen (Tylenol, others). A cold or warm cloth for swollen salivary glands. A cold cloth or ice pack for swollen testicles.","Gino Fasoli","

Via Silvio Spaventa 55,San Martino In Colle, Perugia,06070,Italy.","General practitioners"
"anemia","Treatment might include oxygen, pain relievers, and oral and intravenous fluids to reduce pain and prevent complications. Doctors might also recommend blood transfusions, folic acid supplements and antibiotics."," The most common tablet size is ferrous sulfate 325 milligrams (mg). Tablets come in standard or delayed (extended) release formats.
Liquid: You can also take ferrous sulfate as a liquid iron supplement. The liquid comes as an elixir or as drops.","Luigi Frusciante","Via Nazario Sauro 3,Crescenzago,Milano20127,Italy.","hematologist"
"chicken_pox","In most cases, medical treatment for chickenpox is not required and doctors may advise waiting until the viral infection is completely cured. To relieve itching, doctors may prescribe antihistamines or topical ointments.","Tylenol (acetaminophen) may help reduce high fever and pain when a person has chickenpox","Mario Giovita","Via Agostino Depretis 27,Vallecorsa,Frosinone,03020 ,Italy","pediatrician"
"depressionmental","The kind of psychological treatment that is most commonly used for depression is known as cognitive behavioral therapy (often called “CBT” for short).Jun","Doctors often start by prescribing an SSRI. These drugs are considered safer and generally cause fewer bothersome side effects than other types of antidepressants. SSRIs include citalopram (Celexa), escitalopram (Lexapro), fluoxetine (Prozac), paroxetine (Paxil, Pexeva), sertraline (Zoloft) and vilazodone (Viibryd).","Luigi Ablondi","Corso Porta Nuova 66,Paullo Di Casina, Reggio Emilia,42020 ,Italy","Psychiatrist"
"neoplasmmetastasis","Treatment depends on the type and size of the tumor and whether it has spread to other areas of your body. If the malignant neoplasm is localized to one area, surgery may be an option. If the cancer has spread, then your healthcare provider may recommend chemotherapy, radiation therapy or targeted drug therapy.","Anti angiogenic drugs are treatments that stop tumours from growing their own blood vessels. This might slow the growth of the cancer or sometimes shrink it. There are different types of anti angiogenic drugs.
Drugs that block signalling within the cell
sunitinib.
sorafenib.
axitinib.
regorafenib.
cabozantinib","Franco Galli","

Via Longhena 28,Percile, Roma ,00020, Italy.","oncologist"
"hypothyroidism","An underactive thyroid (hypothyroidism) is usually treated by taking daily hormone replacement tablets called levothyroxine. Levothyroxine replaces the thyroxine hormone, which your thyroid does not make enough of. You'll initially have regular blood tests until the correct dose of levothyroxine is reached.","antithyroid medications (methimazole and propylthiouracil), radioactive iodine ablation of the thyroid gland, or surgical thyroidectomy","Ivano Vezzulli","Via Giberti 139,Lombriasco, Torino,10040, Italy.","endocrinologists"
"malignantneoplasmofprostate","Observation or Active Surveillance for Prostate Cancer.
Surgery for Prostate Cancer.
Radiation Therapy for Prostate Cancer.
Cryotherapy for Prostate Cancer.
Hormone Therapy for Prostate Cancer.
Chemotherapy for Prostate Cancer","Abiraterone Acetate
Apalutamide
Bicalutamide
Cabazitaxel
Casodex (Bicalutamide)
Darolutamide
Degarelix
Docetaxel
Eligard (Leuprolide Acetate)","Massimo Borghese","
Via Galvani 84,Segni,Roma,00037,Italy.","oncologist"
"cholelithiasis","Turgery to remove the gallbladder (cholecystectomy). Your doctor may recommend surgery to remove your gallbladder, since gallstones frequently recur. 
Medications to dissolve gallstones. Medications you take by mouth may help dissolve gallstones.","Ursodiol link (Actigall) and chenodiol link (Chenix) are medicines that contain bile acids that can break up gallstones. These medicines work best to break up small cholesterol stones","Marcello Natali","Via del Mascherone 117, Cellino San Marco, Brindisi,72020,Italy.","gastroenterologist"
"cirrhosis","Treatment for alcohol dependency. People with cirrhosis caused by excessive alcohol use should try to stop drinking. 
Weight loss. 
Medicines to control hepatitis.
Medicines to control other causes and symptoms of cirrhosis.","The main treatments are cutting out salt from your diet and taking a type of medicine called a diuretic, such as spironolactone or furosemide.","Antonino Buttafuoco","Via Volto San Luca 122,Pinasca,Torino,10060, Italy","gastroenterologist,"
"pneumothorax","Treatment for a pneumothorax usually involves inserting a needle or chest tube between the ribs to remove the excess air. However, a small pneumothorax may heal on its own","Morphine is the drug of choice for analgesia because of its reliable and predictable effects, safety profile, and ease of reversibility with naloxone","Giuseppe Finzi","Via Corio 86,Capolago,Varese,21100,Italy.","pulmonologists, "
"migrainedisorders","Many people who have migraines find that over-the-counter painkillers, such as paracetamol, aspirin and ibuprofen, can help to reduce their symptoms. They tend to be most effective if taken at the first signs of a migraine attack, as this gives them time to absorb into your bloodstream and ease your symptoms.","Many people who have migraines find that over-the-counter painkillers, such as paracetamol, aspirin and ibuprofen, can help to reduce their symptoms.","Francesco Foltrani","Corso Alcide De Gasperi 138, Murgia,Bari,70023,Italy.","Neurologists"
"pancreatitis","a hospital stay to treat dehydration with intravenous (IV) fluids and, if you can swallow them, fluids by mouth.
pain medicine, and antibiotics by mouth or through an IV if you have an infection in your pancreas.
a low-fat diet, or nutrition by feeding tube or IV if you can't eat.","amitriptyline, gabapentin or pregabalin – may be recommended to help relieve the pain.","Andrea Carli","Via Longhena 38,Magliano Romano,Roma,00060, Italy.","gastroenterologist"
